protein,gene,EN-181-11_T,EN-216-11_T,EN-430-11_T,EN-454-11_T,EN-711-16_T,EN-716-11_T,EN-797-18_T,EN-181-11_N,EN-216-11_N,EN-430-11_N,EN-454-11_N,EN-711-16_N,EN-716-11_N,EN-797-18_N
PSA2,PSMA2,318750000,340360000,1209600000,183720000,573090000,487080000,356360000,120260000,187400000,142680000,116870000,346100000,180020000,204830000
PLCB3,PLCB3,14521000,31646000,74222000,5576500,118240000,36596000,64488000,11311000,19153000,7768800,18134000,15061000,16936000,6360000
SMD2,SNRPD2,206690000,88465000,180780000,113050000,417870000,368940000,602790000,69406000,74465000,82221000,48484000,218480000,144410000,104300000
NDUV1,NDUFV1,125950000,188120000,71914000,60967000,241900000,216720000,470750000,74702000,79329000,55411000,73361000,44562000,121710000,67097000
NICA,NCSTN,28572000,27989000,164580000,22321000,73285000,80707000,72410000,7093400,8062900,12445000,10337000,54303000,47116000,30885000
SATT,SLC1A4,6050800,3352900,1868000,947550,22752000,9842300,21868000,3596700,734810,2130300,3789200,4114000,6758000,3931800
IDH3A,IDH3A,131120000,141890000,535900000,153210000,380170000,569110000,299470000,70725000,60760000,71522000,54602000,239650000,197420000,136230000
GSDMD,GSDMD,69398000,39812000,12500000,23502000,147140000,111120000,56512000,12267000,7439600,81442000,7789800,39902000,19411000,4763900
IVD,IVD,26266000,2865200,NA,14521000,34232000,141260000,105780000,6006100,8086100,7929600,14286000,58279000,13032000,14734000
SPS2L,SPATS2L,4116400,NA,12694000,589480,25415000,24502000,11609000,NA,634250,1748700,875510,8807500,4321000,10708000
DRA,HLA-DRA,66896000,203600000,49411000,83623000,200250000,190730000,138570000,21523000,9094100,34630000,17586000,56796000,13104000,44428000
T2FA,GTF2F1,12297000,1177900,20539000,3221300,24303000,15680000,26098000,2007800,2990400,11656000,1576400,15856000,2394300,2498000
FCL,GFUS,93968000,74696000,146970000,165730000,563730000,127270000,177810000,57481000,69803000,95778000,81265000,119270000,34331000,51573000
RER1,RER1,3093500,8625700,3265900,8220300,94841000,124570000,87018000,19259000,22130000,13196000,1635900,37394000,15482000,15394000
EF1B,EEF1B2,840460000,319560000,1330800000,510230000,2569500000,1981200000,2984400000,279890000,443840000,480520000,501380000,979280000,799480000,495500000
TM205,TMEM205,17266000,12534000,49792000,24817000,325620000,221470000,44716000,7300600,18702000,17782000,19561000,81346000,90803000,27553000
CY1,CYC1,211860000,144480000,1029300000,309870000,900820000,913690000,679750000,66694000,125680000,218390000,105790000,389380000,552520000,125520000
MIME,OGN,287700000,296580000,135730000,124950000,150900000,46513000,81261000,306120000,251090000,540490000,488410000,243170000,1528300000,379480000
EIF3G,EIF3G,13779000,15480000,15770000,8070600,120030000,148770000,272070000,8683400,11932000,10582000,5704400,64181000,90839000,32951000
DAZP1,DAZAP1,92282000,58086000,63312000,52415000,375140000,352950000,410240000,25677000,38002000,48298000,31163000,192660000,127790000,68173000
DPOD1,POLD1,3363700,1164200,14894000,2562400,22272000,20836000,6349200,3296500,55825,2424400,1348500,5123900,9008500,1916800
OAS1,OAS1,34336000,16699000,3037500,4337000,1439700,7097600,22331000,5059500,2178100,7075100,6449300,7222900,1770000,3575500
UGGG1,UGGT1,63464000,98823000,146460000,51342000,308930000,349260000,209290000,18402000,31223000,17244000,19804000,141800000,80181000,38193000
AASS,AASS,1269000,1354200,2500000,NA,5955800,11044000,3951500,7786000,4167900,4971000,4550500,17233000,35268000,4693200
PAR14,PARP14,20148000,17298000,13375000,2761700,21577000,25118000,16554000,2546600,2658700,7754400,1672000,8478100,15245000,4685300
MB12A,MVB12A,6087100,24413000,98428000,8759500,21975000,20618000,31638000,450940,5580700,16618000,11930000,21725000,14572000,8925100
EIF3M,EIF3M,85433000,93888000,204820000,29606000,269470000,383030000,181060000,32099000,36903000,22530000,39968000,211600000,73975000,58095000
CHRD1,CHORDC1,28262000,10397000,9150200,3054300,84248000,99977000,222590000,9119300,16031000,5137000,10066000,59964000,53621000,14380000
TIAR,TIAL1,39623000,24551000,53993000,88127000,99612000,143690000,73482000,11760000,19185000,22559000,14634000,71244000,30663000,29332000
E41L1,EPB41L1,29566000,26961000,159920000,10603000,195480000,169720000,205200000,19777000,23402000,36274000,41007000,57250000,55000000,71470000
OCAD2,OCIAD2,35876000,12446000,17282000,36493000,95926000,67266000,27025000,1427400,1984400,3341800,1628800,1222300,3974700,190200
IDH3B,IDH3B,50237000,53989000,58070000,74268000,216550000,232330000,164560000,22800000,30787000,46540000,31150000,96980000,58971000,37197000
AK1BA,AKR1B10,8668600,41055000,7256000,19757000,779660000,47548000,1797100000,111660000,87612000,41221000,83507000,268570000,164090000,274490000
PP2BA,PPP3CA,10603000,14124000,13930000,6820200,102730000,79121000,59931000,10093000,5885600,15020000,9867600,27711000,18663000,10844000
SPSY,SMS,89909000,69231000,139530000,47362000,153810000,101900000,29948000,36356000,36690000,70684000,24432000,32470000,20479000,20355000
TACD2,TACSTD2,19054000,65300000,573130,3990600,864980,120470000,724760000,128570000,205660000,311320000,320530000,738520000,501670000,239580000
TCPZ,CCT6A,230190000,177570000,476650000,125800000,731710000,574810000,865960000,99238000,134440000,144510000,142240000,286010000,276050000,134490000
H12,H1-2,7293500,2261900,NA,17917000,85831000,93123000,758660000,4090600,3503500,50005000,22652000,34610000,53878000,40124000
OCAD1,OCIAD1,59128000,30476000,90189000,25119000,222370000,172900000,125950000,20063000,32070000,46786000,28629000,60228000,57996000,32453000
LGMN,LGMN,66345000,246300000,166360000,30474000,168900000,178570000,65695000,27671000,37060000,25092000,32241000,36171000,24414000,14914000
RU17,SNRNP70,28672000,8969600,NA,11834000,175940000,147920000,295890000,24578000,46614000,28805000,39452000,69851000,34613000,10223000
1433B,YWHAB,456450000,580360000,1929100000,502980000,3421700000,3551900000,2126900000,278040000,382160000,407170000,405420000,1194000000,1650000000,505360000
TPM1,TPM1,197200000,106140000,44362000,37942000,2090500000,1769200000,983640000,822590000,911930000,1273500000,656590000,3289600000,4496300000,2174700000
YBOX1,YBX1,1657700,NA,3931200,60411000,257840000,108470000,684140000,9120000,20241000,51162000,39430000,139290000,115300000,54095000
DIC,SLC25A10,21749000,6982000,124800000,35869000,92501000,34063000,95555000,7050200,16749000,28345000,18027000,21031000,47433000,19725000
PRPS2,PRPS2,10074000,4041800,36453000,10225000,40739000,21409000,53085000,10196000,4404600,11965000,6794600,16521000,4603200,5835600
TIGAR,TIGAR,25141000,29387000,11422000,16722000,121410000,100600000,77177000,8730000,12392000,14365000,23153000,25644000,34361000,28415000
CAZA1,CAPZA1,328040000,451120000,445850000,184460000,1715300000,1208400000,1213600000,140100000,195950000,187810000,184800000,662240000,478700000,287760000
DTX3L,DTX3L,39914000,36317000,21809000,11220000,60470000,71460000,44607000,8896300,11420000,14011000,5685700,37022000,18964000,7017400
PP1R8,PPP1R8,5967900,2306200,19493000,2277100,51266000,64782000,39480000,1570600,768400,8783100,774650,14585000,40453000,277430
IFM3,IFITM3,3617500,3721700,NA,4652900,58884000,22003000,24985000,3021800,3838600,1353200,3500000,2579000,14751000,824310
ACADS,ACADS,22915000,40645000,109980000,21773000,118290000,78306000,105610000,17052000,21431000,36426000,19702000,31898000,24189000,4748800
EF1G,EEF1G,556180000,731790000,1073400000,397150000,1116900000,1162200000,1484100000,226780000,282700000,378330000,350350000,408390000,503620000,367060000
HMOX2,HMOX2,45793000,28062000,52266000,17394000,124090000,109250000,213440000,9564400,19608000,15341000,28501000,57959000,78401000,19065000
PUR1,PPAT,3669400,10158000,6986300,7413400,34618000,15351000,22077000,8397600,5599200,3352500,1630200,5484300,4501100,1264300
SYLC,LARS1,26969000,35019000,73953000,34658000,183240000,154730000,190750000,16307000,25082000,16570000,25824000,72119000,70389000,44454000
GCP60,ACBD3,14819000,15543000,128280000,31454000,90786000,84176000,160000000,21081000,20637000,21073000,9960600,52416000,48065000,14175000
NUCB1,NUCB1,20942000,11524000,33361000,16349000,88312000,93125000,114190000,4379500,9464300,11466000,6101200,59163000,28686000,27203000
DECR,DECR1,123350000,106770000,243630000,231720000,1425800000,647410000,298490000,63664000,60846000,113930000,96265000,378530000,340100000,140250000
EI2BG,EIF2B3,5684400,1855600,NA,4295700,37680000,19589000,52991000,3570600,4135000,NA,1708400,22261000,9717100,6008000
ZC3H4,ZC3H4,6010700,140990,1023300,3354500,15609000,9930100,43987000,1809500,4447600,3507100,2344700,6591500,6260600,1318400
MEP50,WDR77,19496000,17622000,51042000,7230300,57658000,59736000,164160000,10934000,12044000,15227000,14088000,50736000,22102000,21258000
MIC27,APOOL,439470,NA,5444600,2294300,202470000,98815000,49994000,815870,932110,5355300,174310,69269000,37938000,25169000
KAD2,AK2,208650000,327500000,280700000,145750000,903020000,817160000,554620000,147870000,185520000,129750000,87417000,305850000,279520000,121900000
AT131,ATP13A1,18768000,24744000,42615000,18165000,104120000,99612000,86354000,3070400,10509000,25085000,28358000,22097000,29778000,15486000
UCHL1,UCHL1,4690500,6445600,NA,56144,25772000,21354000,21715000,3682000,11108000,8589800,13278000,85599000,56939000,26721000
RANB3,RANBP3,286470,143460,NA,1013800,58669000,54463000,51554000,383020,295920,1565900,2409500,23582000,24045000,12293000
HP1B3,HP1BP3,16873000,6231000,11258000,7587300,253760000,322480000,143910000,7293400,14020000,12577000,11251000,143440000,64706000,43142000
VP13C,VPS13C,15066000,40110000,22459000,8861900,87525000,65441000,13159000,5459300,6643700,23442000,14730000,18467000,20485000,9122700
SYEP,EPRS1,213240000,170100000,23781000,112320000,763160000,608580000,410820000,56816000,77154000,66867000,85723000,206450000,296810000,106890000
TGO1,MIA3,5264800,10971000,90720000,2564600,66046000,32961000,90710000,4481300,1018700,4235600,212990,43994000,22212000,2793200
MIX23,MIX23,19116000,9297100,51257000,18642000,18607000,41811000,43364000,4255800,6521100,848640,4640900,12020000,2769500,4708900
S61A1,SEC61A1,80042000,28406000,93249000,73329000,321840000,233380000,233590000,22047000,40299000,29742000,34323000,162790000,49225000,76467000
RS13,RPS13,306750000,206790000,246070000,139510000,937380000,723810000,477640000,69882000,98212000,90919000,104160000,373740000,174910000,275140000
COPG2,COPG2,16429000,14038000,49686000,9240400,84664000,40224000,56229000,6498100,12845000,10310000,11105000,26423000,19445000,19167000
MYH11,MYH11,65111000,135190000,94831000,12120000,886430000,1012400000,477770000,547040000,714950000,2220000000,1158300000,3511900000,8737300000,4593100000
AP3M1,AP3M1,20215000,44907000,59274000,17425000,110080000,78066000,70038000,11811000,19315000,33127000,8864000,39433000,27524000,16393000
GMPPB,GMPPB,35934000,68423000,14213000,29218000,173830000,161410000,192630000,33574000,30556000,38393000,27063000,53089000,50828000,30852000
FA98B,FAM98B,41351000,18166000,30105000,25515000,118190000,137810000,84230000,10594000,10319000,36865000,13646000,40277000,44028000,22551000
CYC,CYCS,395850000,451160000,819550000,625700000,1754600000,1053600000,1170100000,180040000,217790000,242860000,216540000,683430000,376870000,265340000
HNRL1,HNRNPUL1,95835000,117550000,212270000,36263000,254300000,212780000,338710000,42456000,47882000,24970000,74672000,68395000,201440000,36806000
PPCE,PREP,100110000,110200000,173650000,44895000,297480000,281680000,81836000,27724000,42867000,42452000,53216000,45608000,142590000,72820000
RAD50,RAD50,15296000,28509000,86806000,13583000,64243000,55305000,104330000,9626100,16763000,21327000,18152000,28212000,32207000,18203000
SC23A,SEC23A,28866000,50830000,49405000,19688000,367830000,190410000,145100000,15235000,23800000,25822000,10584000,89217000,150700000,19273000
IF2A,EIF2S1,44845000,22513000,139020000,69156000,295440000,332290000,440610000,20458000,29748000,53239000,37240000,162300000,124430000,100430000
PEDF,SERPINF1,104910000,76405000,758300000,34889000,227690000,168960000,176740000,66549000,84343000,52466000,47407000,115800000,144400000,97216000
PTN1,PTPN1,5176800,27794000,33102000,8151400,112120000,56833000,102080000,3860700,4483500,8783000,2449900,74960000,27337000,11528000
MCCB,MCCC2,22381000,32146000,78099000,13556000,121610000,130940000,65018000,6235500,9103700,14875000,10244000,63842000,42336000,16880000
SYYC,YARS1,77576000,53667000,220920000,34061000,296170000,249020000,126860000,52334000,39598000,22214000,50709000,84848000,126450000,28719000
MAN1,LEMD3,29061000,4077400,5940700,15495000,18308000,17293000,34544000,1576500,5653600,6190200,7463200,5136900,7400800,4135700
CUL1,CUL1,13886000,9997800,14501000,10764000,32907000,52855000,35771000,5385900,6814800,5757600,5547000,15507000,14171000,10498000
PUR9,ATIC,239960000,153010000,707850000,101900000,883460000,910880000,455570000,72168000,85723000,98931000,116610000,398820000,442840000,143730000
P4R3A,PPP4R3A,6747500,7371200,47188000,3382700,32002000,18437000,17328000,1819300,3270500,708170,5756400,9833500,8931900,2226200
HSPB6,HSPB6,53774000,33478000,NA,74045000,60478000,125670000,147180000,85471000,187350000,49553000,157060000,197520000,195190000,436090000
JAM1,F11R,61216000,40585000,27910000,30401000,249460000,153730000,427690000,28178000,52989000,74266000,62306000,42605000,76876000,53664000
MCM3,MCM3,52665000,35497000,64224000,20496000,112630000,42499000,124500000,15330000,21236000,39148000,6392600,51657000,33615000,11249000
NDUAA,NDUFA10,44544000,78942000,77951000,21732000,282840000,293650000,161450000,36055000,54605000,16572000,44683000,96883000,103650000,27049000
OSGEP,OSGEP,1801700,396830,5832000,3350700,25463000,22959000,29228000,4399200,4490700,5471600,3843700,5845400,3522300,3853200
RT18B,MRPS18B,4624600,4610600,499330,3727300,9306300,8227400,27719000,NA,1452500,1290600,265930,5430800,7052100,3162100
ETFD,ETFDH,22819000,35202000,313590000,69582000,83675000,102250000,29465000,15469000,26325000,22803000,33400000,41494000,87782000,32469000
PUR2,GART,84523000,63878000,314130000,54157000,353070000,327890000,229430000,37079000,45774000,44684000,36235000,138130000,177380000,76108000
PSMD7,PSMD7,65483000,53057000,142210000,31760000,248120000,155660000,217400000,22307000,26520000,2855900,39002000,100250000,62180000,76504000
S10A4,S100A4,78166000,138140000,14102000,75660000,432820000,2504400000,279750000,159380000,79067000,13309000,46265000,515060000,422570000,161140000
NCBP1,NCBP1,21888000,19849000,36672000,11110000,70817000,48083000,58855000,3365800,4538300,1978800,1530700,11209000,16817000,6101200
PTN6,PTPN6,31081000,130360000,107190000,34076000,227440000,200010000,126970000,38203000,54896000,27890000,31456000,83131000,61637000,42763000
AHSA1,AHSA1,91390000,49496000,217500000,52313000,275940000,240520000,436870000,20528000,41033000,50090000,66266000,104800000,177840000,80503000
RENT1,UPF1,52504000,63353000,27084000,33008000,193100000,138930000,219530000,12207000,10599000,6555700,17915000,90411000,131720000,19232000
SRBS1,SORBS1,54044000,24430000,97031000,20106000,152060000,277590000,67668000,131430000,157360000,190240000,85028000,325770000,547400000,305600000
MDHM,MDH2,1506400000,3022600000,4560300000,2650600000,7825300000,4728100000,3940800000,831450000,1070900000,889140000,1186100000,2492600000,3062200000,1694300000
STIP1,STIP1,255890000,286000000,591930000,144050000,617630000,1046500000,751730000,117140000,163410000,191660000,161360000,276740000,358740000,200950000
FIS1,FIS1,44244000,93046000,280440000,59982000,414460000,195590000,263490000,43583000,58313000,59208000,57459000,127450000,131450000,60375000
RHEB,RHEB,379630,6851400,11959000,NA,18232000,10580000,8600600,413400,1141300,6327700,1034400,7317000,3441900,2874800
MX1,MX1,44476000,100660000,194350000,6789400,192530000,204830000,178610000,28280000,20595000,72402000,12232000,148740000,54725000,31676000
AIP,AIP,27691000,41715000,29292000,19186000,160000000,209740000,108090000,15425000,25658000,18388000,17091000,71557000,43695000,46359000
NASP,NASP,35059000,23597000,NA,20556000,205000000,115690000,251510000,22741000,22071000,4919700,16417000,139210000,22291000,32830000
MBOA7,MBOAT7,6909400,3228900,5455900,8762000,62473000,46624000,73628000,5125400,5903000,11810000,4598900,17376000,17867000,14242000
KCY,CMPK1,202100000,264760000,72714000,227700000,942820000,1273500000,405320000,80170000,113790000,129440000,110150000,437840000,319850000,164990000
SE1L1,SEL1L,2638400,16935000,1213400,5506400,69370000,101590000,24523000,1700600,2436600,4415700,3474900,11394000,20975000,1423700
CUTA,CUTA,249340000,106340000,72011000,139570000,627410000,350480000,145140000,35496000,57415000,66034000,97039000,177250000,123810000,120800000
LRRC1,LRRC1,17808000,4315000,7927100,7227900,18390000,38619000,11584000,806420,1614900,4626600,5691300,8885400,14682000,6307800
NIF3L,NIF3L1,11581000,9441200,18561000,7299100,74759000,89793000,45495000,2443400,4131300,3328100,15289000,29065000,33280000,15979000
POF1B,POF1B,4738200,2395200,30036000,1051900,38315000,24100000,23589000,7659800,9627200,6000700,2152100,10343000,4273400,1792200
ATG4B,ATG4B,7678300,4530400,7286400,73826,41266000,32301000,34915000,744760,3022200,8120100,128370,15757000,16544000,4934000
CAPR1,CAPRIN1,75386000,88542000,62097000,38118000,173230000,216480000,246920000,20522000,19640000,29304000,15247000,128270000,59148000,43570000
ROCK2,ROCK2,11184000,18823000,43650000,19718000,56932000,52546000,56647000,7978100,11837000,9731700,10649000,20404000,27085000,17134000
RAI14,RAI14,907000,6016100,1732900,2523500,12620000,12387000,11672000,2386500,4000300,464610,2315100,3173400,4838200,2155000
ERMP1,ERMP1,9020300,22141000,137200000,8495200,23448000,144090000,41884000,31352000,9533400,22752000,21182000,15914000,31379000,15862000
SYRC,RARS1,101880000,88014000,358860000,87521000,142100000,286920000,310100000,44721000,66002000,61404000,54764000,92491000,167800000,69533000
SIN3A,SIN3A,15545000,13808000,10345000,4228100,16324000,15393000,3522800,3307100,3698100,4667700,4303400,4855100,5148000,4460000
OSBP1,OSBP,54960000,41161000,134920000,43558000,200040000,194120000,75024000,15553000,34471000,18723000,30483000,52570000,106410000,43093000
RS17,RPS17,116830000,553670,93330000,71181000,804780000,473060000,551340000,31895000,82900000,30829000,79270000,401030000,77280000,152200000
NADC,QPRT,5039100,6662100,52423000,15783000,102050000,27693000,58307000,14435000,14123000,11733000,12974000,32435000,20336000,2544100
ADA,ADA,504000,1630100,2209900,1584800,10474000,19106000,29577000,444620,NA,3796700,1740400,9667900,3186200,3589700
AMPL,LAP3,364770000,549520000,149620000,153730000,929730000,1125600000,423340000,174150000,200380000,71157000,123180000,428200000,342310000,159660000
MYH9,MYH9,196250000,547740000,886640000,190330000,625590000,430890000,1415400000,133870000,133980000,460340000,172460000,248500000,469090000,124480000
RM39,MRPL39,16426000,17521000,117060000,19901000,74143000,83541000,45131000,7297000,9069400,28134000,7920000,27193000,16855000,11226000
VA0D1,ATP6V0D1,26971000,9551300,19453000,11047000,43199000,74586000,35912000,4595500,8768100,12457000,11341000,9371600,8716700,14074000
CCD22,CCDC22,3603400,10018000,4133300,792810,33763000,29072000,32941000,2484700,3677600,1216600,4636800,13472000,12477000,2506300
COASY,COASY,44479000,58594000,120060000,51986000,132850000,99047000,64833000,25309000,34676000,45381000,37508000,10413000,50368000,28826000
BCLF1,BCLAF1,2651600,129740,NA,2151000,71086000,56044000,91747000,1874900,19972000,10071000,16443000,21374000,10150000,10008000
UBAC2,UBAC2,294180,562160,15048000,8131000,5907900,10667000,17801000,234230,265320,2667900,596100,3250200,3152900,3862200
SEP15,SELENOF,32229000,34287000,59090000,18462000,93196000,94861000,69108000,34198000,13117000,22680000,28266000,12520000,26462000,26096000
IF6,EIF6,152090000,202110000,337880000,214040000,1422300000,771220000,1457500000,107950000,135540000,150450000,156580000,540400000,584560000,179920000
GDE,AGL,21199000,9885100,148280000,12311000,49870000,60965000,19323000,8379000,27226000,15969000,29432000,14276000,21139000,14764000
XPO2,CSE1L,124070000,61392000,409410000,52980000,480490000,404560000,449450000,106430000,140380000,46345000,56206000,183890000,206590000,68566000
ENY2,ENY2,7369300,13602000,24898000,333420,43165000,70721000,46253000,572140,2442800,1066000,1407600,26789000,19058000,32840000
NDUBB,NDUFB11,308170,7686600,1977900,10611000,35975000,37431000,42816000,NA,2125900,6290300,1588100,22246000,12137000,10722000
DHRS7,DHRS7,68430000,37217000,262410000,18885000,521020000,194750000,78339000,35417000,28346000,67290000,49458000,107130000,115200000,79197000
RM12,MRPL12,42158000,42712000,46940000,78836000,177200000,136430000,268720000,19981000,28695000,16658000,21799000,115700000,79248000,41600000
ANK3,ANK3,11207000,14155000,46597000,9178100,114030000,69720000,102910000,8803000,6200000,12647000,10762000,54393000,29989000,8459900
PSB4,PSMB4,39901000,70397000,79401000,26794000,611550000,334480000,413840000,13377000,30939000,30582000,25692000,303380000,126550000,113230000
ISG15,ISG15,46135000,37145000,159360000,9164400,67480000,93660000,85620000,3080600,3034100,2579600,NA,9446500,1402800,5632700
GCN1,GCN1,65934000,74969000,259130000,26353000,161020000,182900000,152430000,16734000,32656000,33218000,29638000,122190000,118360000,25034000
DDI2,DDI2,15954000,24706000,60377000,94484000,63190000,78453000,96549000,4172400,3013300,8273300,12494000,67917000,49674000,26672000
SRPRB,SRPRB,74542000,68559000,70930000,31149000,241730000,179910000,189310000,24316000,28508000,31150000,69217000,93749000,73309000,30726000
HACL2,ILVBL,29046000,27450000,96738000,11537000,385800000,90478000,112980000,12886000,22930000,20282000,22423000,84264000,86614000,59855000
